Date,dks_diff_y_pct,dks_rho_pct,dks_cip_govt_original_bps,dks_chf_govt_cip_3m_bps,source_series
2000-01-31,-3.8600001,-3.8971894,3.7189322,-3.7189322,"Du-Keerati-Schreger cip_govt, CHF 3M"
2000-02-29,-3.46,-3.7086353,24.863523,-24.863523,"Du-Keerati-Schreger cip_govt, CHF 3M"
2000-03-31,-3.2799997,-3.4113386,13.133878,-13.133878,"Du-Keerati-Schreger cip_govt, CHF 3M"
2000-04-30,-2.8399999,-3.3053515,46.535152,-46.535152,"Du-Keerati-Schreger cip_govt, CHF 3M"
2000-05-31,-2.4399998,-3.6591728,121.9173,-121.9173,"Du-Keerati-Schreger cip_govt, CHF 3M"
2000-06-30,-2.6199999,-3.3113387,69.133881,-69.133881,"Du-Keerati-Schreger cip_govt, CHF 3M"
2000-07-31,-2.76,-3.2255337,46.553368,-46.553368,"Du-Keerati-Schreger cip_govt, CHF 3M"
2000-08-31,-2.9300001,-3.1502492,22.024918,-22.024918,"Du-Keerati-Schreger cip_govt, CHF 3M"
2000-09-30,-2.8700001,-3.1814482,31.144808,-31.144808,"Du-Keerati-Schreger cip_govt, CHF 3M"
2000-10-31,-3.0299997,-3.200443,17.044323,-17.044323,"Du-Keerati-Schreger cip_govt, CHF 3M"
2000-11-30,-2.79,-3.1655216,37.552158,-37.552158,"Du-Keerati-Schreger cip_govt, CHF 3M"
2000-12-31,-2.75,-2.9457991,19.579905,-19.579905,"Du-Keerati-Schreger cip_govt, CHF 3M"
2001-01-31,-1.7400002,-1.9700443,23.004406,-23.004406,"Du-Keerati-Schreger cip_govt, CHF 3M"
2001-02-28,-1.5599999,-1.7628833,20.288342,-20.288342,"Du-Keerati-Schreger cip_govt, CHF 3M"
2001-03-31,-1.1400001,-1.4964662,35.646603,-35.646603,"Du-Keerati-Schreger cip_govt, CHF 3M"
2001-04-30,-0.87000012,-1.1482334,27.823338,-27.823338,"Du-Keerati-Schreger cip_govt, CHF 3M"
2001-05-31,-0.55000019,-0.73345697,18.34569,-18.34569,"Du-Keerati-Schreger cip_govt, CHF 3M"
2001-06-30,-0.48000002,-0.57861573,9.8615694,-9.8615694,"Du-Keerati-Schreger cip_govt, CHF 3M"
2001-07-31,-0.49000001,-0.46235657,-2.7643394,2.7643394,"Du-Keerati-Schreger cip_govt, CHF 3M"
2001-08-31,-0.31999993,-0.34519207,2.5192056,-2.5192056,"Du-Keerati-Schreger cip_govt, CHF 3M"
2001-09-30,-0.099999905,-0.30030423,20.03043,-20.03043,"Du-Keerati-Schreger cip_govt, CHF 3M"
2001-10-31,0.0099999905,-0.12574446,13.574446,-13.574446,"Du-Keerati-Schreger cip_govt, CHF 3M"
